Joint1L,Joint2L,Joint3L,Joint4L,Joint1U,Joint2U,Joint3U,Joint4U
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
-44.99438,44.99438,0.09,0,44.99438,-44.99438,0.09,0
